user_url,username,current_school,user_major,hometown,gender,ethnicity,English_FL,Admission,class_of,first_gen,accepted_schools,waitlisted_schools,rejected_schools,legacy,GPA_measure,GPA,rank,num_of_Essays,num_of_Scores,num_of_Advice,num_of_ECs,num_of_Sports,num_of_schools,SAT,ACT
https://www.admitsee.com/profile-detail/88258,"alijetv,",Stanford,"B.S., Visual Arts, English, , Creative Writing","
Bakersfield, California",Female,White Non-Hispanic,,Regular Decision,2019,No,"Stanford, Harvard, Columbia, Princeton, NYU, UC Berkeley, UC Davis, UC Irvine, UCLA, Whitman",N/A,"Yale, Amherst",Grandparents,,"4.50
GPA",,"6
Essays","14
Scores","5
Advice","6
ECs","1
Sports","12
Schools","1480
SAT","34
ACT"
https://www.admitsee.com/profile-detail/87383,"Student13,",Harvard,"B.A., Physics","
North Caldwell, New Jersey",Male,Asian,Yes,Regular Decision,2013,No,"Harvard, Yale, Princeton, Columbia",N/A,N/A,No,,"3.95
GPA",,"2
Essays","10
Scores","5
Advice","4
ECs","3
Sports","4
Schools","1600
SAT",
https://www.admitsee.com/profile-detail/70175,"alice6180,",Yale,"B.S., Psychology","
New York City, New York, South Korea",Female,Asian,No,Early Action,2019,Yes,"Yale, Harvard",N/A,N/A,No,,"4.00
GPA",,"4
Essays","14
Scores","5
Advice","6
ECs","1
Sports","2
Schools","1560
SAT","34
ACT"
https://www.admitsee.com/profile-detail/67352,"katvh,",Harvard,"B.S., Computer Science","
Saint Joseph, Michigan",Female,Hispanic,Yes,Early Action,2019,Yes,"Harvard, MIT, GA Tech, UVA",N/A,N/A,No,,"4.50
GPA",,"2
Essays","16
Scores","11
Advice","5
ECs","1
Sports","4
Schools","1580
SAT","35
ACT"
https://www.admitsee.com/profile-detail/56267,"allarice,",Harvard,B.A.,"
Boston, Massachusetts",Female,Asian,Yes,Regular Decision,2019,No,"Harvard, Yale, Stanford, UChicago, UMich, Northeastern, UC Berkeley",N/A,MIT,No,,"4.50
GPA",,"3
Essays","15
Scores","5
Advice","4
ECs","1
Sports","8
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/55851,"Harvard_Writer,",Harvard,"B.S., Computer Science","
Norwalk, Connecticut",Male,Hispanic,No,Regular Decision,2022,Yes,"Harvard, UConn, NYU, Amherst",N/A,"Yale, Yale-NUS, MIT, Columbia, Princeton, Wesleyan",No,,"4.95
GPA",,"2
Essays","10
Scores","5
Advice","2
ECs","0
Sports","10
Schools","1470
SAT",
https://www.admitsee.com/profile-detail/51934,"Paeonia,",Harvard,"B.S., Electrical and Electronics Engineering","
Gainesville, Florida",Female,Asian,Yes,"Regular Decision, Early Action",2019,,"Harvard, Princeton, Florida",N/A,N/A,No,,"4.00
GPA",,"4
Essays","23
Scores","10
Advice","6
ECs","1
Sports","3
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/42366,"jmondal79,",Yale,"B.S., Bioengineering and Biomedical Engineering","
Queens, New York",Male,Asian,No,Early Action,2019,Yes,"Yale, Harvard, Columbia, Cornell, UVA, Hunter, CUNY City, Brooklyn College, Queens, Baruch, Tufts, Dartmouth, Stony Brook, Binghamton, SUNY Albany",N/A,"UPenn, Brown",No,,"4.00
GPA",,"5
Essays","13
Scores","10
Advice","7
ECs","1
Sports","17
Schools","1500
SAT","31
ACT"
https://www.admitsee.com/profile-detail/15312,"markowitza25,",Harvard,"B.A., Physical Science Studies","
Cleveland, Ohio",Male,White Non-Hispanic,Yes,Early Action,2016,No,"Harvard, Ohio State, Cornell",N/A,N/A,No,,"4.40
GPA",,"8
Essays","19
Scores","17
Advice","11
ECs","1
Sports","3
Schools","1550
SAT","34
ACT"
https://www.admitsee.com/profile-detail/8408,"YCJ17,",Harvard,"B.S., Computer Science","
Nutley, New Jersey",Male,Asian,No,Regular Decision,2017,Yes,"Harvard, Rutgers, Stevens, Villanova, CMU","Rice, W&L U","Duke, Cornell, Princeton, Columbia, UPenn, MIT, Cooper Union",No,,"4.38
GPA",,"3
Essays","13
Scores","14
Advice","8
ECs","2
Sports","14
Schools","1550
SAT",
https://www.admitsee.com/profile-detail/424264,"aeden1,",Brown,"B.A., History","
Boston, Massachusetts",Female,Asian,,,2022,No,"Brown, Harvard, Colby, Bates",Tulane,UPenn,No,,"3.75
GPA",,"3
Essays","9
Scores","9
Advice","1
ECs","2
Sports","6
Schools","1510
SAT",
https://www.admitsee.com/profile-detail/373580,"dkragheb,",Harvard,"B.A., Neuroscience and Neurobiology","
Los Angeles, California",Male,White Non-Hispanic,,,2020,No,"Harvard, Columbia, Cornell, Dartmouth, UPenn, USC, UC Berkeley, UCLA, UC Irvine, UCSD, UCSB, UC Riverside , Duke, Georgetown, WashU, JHU, UVA, Northwestern","Yale, Princeton, Brown, UChicago, UMich",Stanford,No,,"4.45
GPA",,"13
Essays","14
Scores","22
Advice","4
ECs","2
Sports","24
Schools","1550
SAT","32
ACT"
https://www.admitsee.com/profile-detail/355533,"HarvardCowboy,",Harvard,"B.A., Physics","
Roanoke, Virginia",Male,Asian,,,2022,No,"Harvard, CalTech, Duke, WashU, UVA, VA Tech, UToronto, Alabama",Cornell,"MIT, UChicago, Stanford, Princeton, Northwestern",No,,"4.82
GPA",,"10
Essays","13
Scores","8
Advice","9
ECs","1
Sports","14
Schools","1560
SAT","36
ACT"
https://www.admitsee.com/profile-detail/236103,"apjpaj,",Harvard,"B.S., Mathematics","
Greenbrae, California",Male,White Non-Hispanic,,,2021,No,"Harvard, Yale, Princeton, Duke, UC Berkeley, UCLA, Notre Dame, Pomona, Cal Poly, USC","Columbia, Brown",Stanford,No,,"4.50
GPA",,"3
Essays","8
Scores","5
Advice","7
ECs","2
Sports","13
Schools","1550
SAT","35
ACT"
https://www.admitsee.com/profile-detail/226386,"lizolat,",Yale,"B.S., Molecular Biology","
Tampa, Florida",Female,Black / African American,Yes,Regular Decision,2020,No,"Yale, Harvard, Princeton, JHU, Duke, Brown, Dartmouth, WashU, USF, Florida, UCF",N/A,N/A,No,,"4.81
GPA",,"6
Essays","17
Scores","5
Advice","7
ECs","2
Sports","11
Schools","1510
SAT",
https://www.admitsee.com/profile-detail/210444,"VivienneEve23,",UC Berkeley,"B.S., Economics","
Los Angeles , California",Female,"Hispanic, White Non-Hispanic",Yes,Regular Decision,2020,Yes,"UC Berkeley, Brown, Claremont (CMC), Columbia, Cornell, Harvard, Northwestern, Pomona, Stanford, San Diego, Vanderbilt, UCSC, UCSB, UCSD, UCLA, Cal Poly, Cal Poly Pomona, Washington",N/A,N/A,No,,"4.50
GPA",,"10
Essays","13
Scores","8
Advice","5
ECs","1
Sports","18
Schools","1480
SAT","35
ACT"
https://www.admitsee.com/profile-detail/192392,"kPurl,",MIT,"B.S., Computer Science","
Cary, North Carolina",Female,Asian,Yes,Early Action,2020,No,"MIT, CalTech, UNC, Duke, Stanford, Harvard, UPenn",N/A,N/A,No,,"4.72
GPA",,"10
Essays","12
Scores","13
Advice","4
ECs","1
Sports","7
Schools","1490
SAT","35
ACT"
https://www.admitsee.com/profile-detail/114896,"cyang1014,",Stanford,B.A.,"
Philadelphia, Pennsylvania",Female,Asian,No,Regular Decision,2020,No,"Stanford, Princeton, Swarthmore, Amherst, Williams, UPenn, Brown, Harvard, Dartmouth",N/A,N/A,No,,"4.30
GPA",,"4
Essays","18
Scores","9
Advice","5
ECs","0
Sports","9
Schools","1560
SAT",
https://www.admitsee.com/profile-detail/70226,"Enrique_NYUAD,",NYU,"B.A., Political Science and Government","
Mexico City, Mexico",Male,Hispanic,No,"Regular Decision, Early Decision",2019,No,"NYU, Harvard, Stanford, Miami, UPenn, Rochester, Yale-NUS","Claremont (CMC), ConnCollege","Northwestern, Princeton, WashU, Yale",No,,"3.75
GPA",,"6
Essays","8
Scores","9
Advice","2
ECs","0
Sports","13
Schools","1480
SAT",
https://www.admitsee.com/profile-detail/50628,"2019tiger,",Princeton,"B.A., Public Policy Analysis","
Great Falls, Virginia",Female,Asian,Yes,Early Action,2019,No,"Princeton, Harvard, Yale, Columbia, Duke, UVA",N/A,N/A,No,,"4.34
GPA",,"4
Essays","19
Scores","6
Advice","5
ECs","1
Sports","6
Schools","1560
SAT","34
ACT"
https://www.admitsee.com/profile-detail/21366,"gabi.wabi.7,",Harvard,"B.A., Biology, Engineering Studies","
Bronx, New York",Female,"Black / African American, Hispanic",Yes,Early Action,2018,,"Harvard, Binghamton, BC, Yale, JHU",N/A,N/A,No,,"3.85
GPA",,"4
Essays","11
Scores","5
Advice","2
ECs","1
Sports","5
Schools","1450
SAT","33
ACT"
https://www.admitsee.com/profile-detail/17220,"DougP,",Harvard,"B.S., Economics, Mathematics","
Greenlawn, New York",Male,White Non-Hispanic,Yes,Regular Decision,2016,,"Harvard, Princeton, Columbia, Williams, Cornell, Georgetown, Colgate, Tufts",N/A,N/A,No,,"4.00
GPA",,"2
Essays","14
Scores","3
Advice","2
ECs","0
Sports","8
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/8519,"bchab,",Harvard,"B.A., Art History","
Springfield, NJ, New Jersey",Male,White Non-Hispanic,No,Early Action,2017,,"Harvard, Oxford",N/A,N/A,No,,"4.20
GPA",,"3
Essays","18
Scores","11
Advice","4
ECs","0
Sports","2
Schools","1570
SAT",
https://www.admitsee.com/profile-detail/8437,"dandmandv,",Harvard,"B.A., Economics, Statistics","
La Cañada Flintridge, California",Male,Hispanic,Yes,Regular Decision,2017,,"Harvard, Dartmouth, Duke, Northwestern, Notre Dame, Fordham, Miami, UNC, UVA, UCSB, UCLA, Florida, Vanderbilt, WashU",N/A,"Princeton, Stanford",No,,"4.40
GPA",,"2
Essays","13
Scores","5
Advice","0
ECs","3
Sports","16
Schools","1510
SAT","36
ACT"
https://www.admitsee.com/profile-detail/490862,"AppIcon,",Harvard,"B.A., Social Sciences","
Wellsburg, Iowa",Male,White Non-Hispanic,,,2024,No,"Harvard, Princeton, Swarthmore, Nebraska, Iowa State, U Iowa","Dartmouth, Vanderbilt, UMich",N/A,No,,"4.00
GPA",,"3
Essays","2
Scores","4
Advice","3
ECs","2
Sports","9
Schools",,"32
ACT"
https://www.admitsee.com/profile-detail/404875,"faithlundt,",Yale,"B.S., Molecular Biology","
Clintonville, Wisconsin",Female,White Non-Hispanic,,,2022,Yes,"Yale, Harvard, MIT, JHU, UMich, Wisconsin, Mines","UCLA, UC Berkeley",N/A,No,,"4.00
GPA",,"4
Essays","8
Scores","5
Advice","12
ECs","0
Sports","9
Schools",,"35
ACT"
https://www.admitsee.com/profile-detail/333705,"hulya559,",Harvard,"B.A., Social Sciences","
Istanbul, Turkey",Female,White Non-Hispanic,,,2021,No,"Harvard, Dartmouth, UC Berkeley, Emory, USC","Columbia, Northwestern, UPenn, UChicago","Brown, Cornell, Princeton, Yale",No,,"4.30
GPA",,"26
Essays","8
Scores","7
Advice","4
ECs","3
Sports","13
Schools","1500
SAT",
https://www.admitsee.com/profile-detail/257564,"enyi13,",Harvard,"B.A., Neuroscience and Neurobiology","
Chicago, Illinois",Male,Black / African American,Yes,,2013,No,"Harvard, Stanford, Yale, UPenn, Columbia, Princeton, Dartmouth, Brown, Cornell, MIT, Northwestern, UChicago, WashU, Amherst, Duke, JHU, Vanderbilt, Emory, UMich, Illinois, Notre Dame",N/A,N/A,No,,"4.50
GPA",,"4
Essays","15
Scores","7
Advice","1
ECs","3
Sports","21
Schools","1440
SAT","35
ACT"
https://www.admitsee.com/profile-detail/212932,"harvard22,",Harvard,"B.A., Anthropology and Archaeology","
Simsbury, Connecticut",Female,White Non-Hispanic,Yes,,2022,No,"Harvard, Hamilton, JHU, Dickinson, UVM, William & Mary, UNC, Vassar","NYU, GWU, UChicago","Brown, Columbia, Yale",No,,"4.00
GPA",,"12
Essays","7
Scores","8
Advice","10
ECs","2
Sports","14
Schools","1390
SAT","32
ACT"
https://www.admitsee.com/profile-detail/104114,"nsintros,",Clark,"B.A., Political Science and Government","
Chelmsford, Massachusetts",Male,White Non-Hispanic,Yes,Regular Decision,2019,No,"Clark, Harvard, ConnCollege, Emerson, Colby, UMass, UVM",N/A,"Tufts, Williams, Amherst, Bates, Bowdoin",No,,"3.80
GPA",,"4
Essays","5
Scores","5
Advice","3
ECs","4
Sports","12
Schools","1380
SAT","30
ACT"
https://www.admitsee.com/profile-detail/68551,"mandiew_WAS,",W&L U,"B.S., Economics, Computer Science, , Spanish Language and Literature","
Phoenix, Arizona",Female,White Non-Hispanic,Yes,Regular Decision,2018,Yes,"W&L U, Harvard, Wake Forest, UNC, NAU",Brown,"Yale, Stanford",No,,"4.00
GPA",,"5
Essays","14
Scores","6
Advice","5
ECs","1
Sports","8
Schools","1530
SAT","32
ACT"
https://www.admitsee.com/profile-detail/57427,"pam3171,",Harvard,B.A.,"
Humboldt, South Dakota",Female,White Non-Hispanic,Yes,Early Action,2019,Yes,"Harvard, SD State, USD, Yale, Drake",N/A,N/A,No,,"4.45
GPA",,"2
Essays","1
Scores","12
Advice","8
ECs","1
Sports","5
Schools",,"32
ACT"
https://www.admitsee.com/profile-detail/56438,"Aohagan,",Harvard,"B.A., Acting, Dance, , Art History","
Richmond, Virginia",Female,White Non-Hispanic,Yes,Accepted From Waitlist,2019,,"Harvard, Wake Forest, BC, UVA, Northwestern",N/A,"Yale, Columbia",No,,"4.50
GPA",,"2
Essays","13
Scores","5
Advice","5
ECs","2
Sports","7
Schools",,"33
ACT"
https://www.admitsee.com/profile-detail/55958,"MK97,",Yale,"B.S., Economics, Chemical Engineering, , Mathematics, , Political Science and Government, , Chemistry, , Biochemistry and Molecular Biology","
Richmond, Virginia",Male,White Non-Hispanic,No,"Regular Decision, Early Action",2019,,"Yale, Harvard, UVA, MIT",N/A,Amherst,No,,"4.25
GPA",,"6
Essays","14
Scores","5
Advice","7
ECs","5
Sports","5
Schools",,"34
ACT"
https://www.admitsee.com/profile-detail/50789,"publicivy,",UMD,"B.A., Political Science and Government, Environmental Studies","
Annapolis, Maryland",Female,White Non-Hispanic,Yes,Early Action,2019,,"UMD, Harvard, McGill, UVM, UMass, Queen's U, Fordham, St. Mary's MD",N/A,N/A,No,,"4.50
GPA",,"4
Essays","14
Scores","11
Advice","13
ECs","3
Sports","8
Schools","1490
SAT","34
ACT"
https://www.admitsee.com/profile-detail/50296,"sophiajr,",Harvard,"B.A., African American Studies","
Boston, Massachusetts",Female,"Asian, Black / African American",Yes,Regular Decision,2019,,"Harvard, Barnard, NYU, Howard, JHU, Tulane, Northwestern, UMass, UCLA, Rice, BU",N/A,"Columbia, UPenn, GWU",Parent,,"3.80
GPA",,"5
Essays","8
Scores","2
Advice","6
ECs","1
Sports","14
Schools","1470
SAT",
https://www.admitsee.com/profile-detail/12504,"lesmisarahbles,",Harvard,"B.A., Biology","
Massena, New York",Female,White Non-Hispanic,Yes,Early Action,2017,No,Harvard,N/A,N/A,No,,"5.00
GPA",,"2
Essays","10
Scores","11
Advice","15
ECs","0
Sports","1
Schools","1520
SAT","35
ACT"
https://www.admitsee.com/profile-detail/11436,"MathPhysPanda,",Harvard,"B.A., Physics","
Newark, New Jersey",Male,White Non-Hispanic,No,Regular Decision,2016,Yes,"Harvard, MIT, Cornell, Amherst, Columbia, Princeton, Rutgers, Northeastern, Dartmouth, BC, CMU",N/A,N/A,No,,"4.40
GPA",,"7
Essays","14
Scores","1
Advice","8
ECs","1
Sports","11
Schools","1580
SAT",
https://www.admitsee.com/profile-detail/11431,"aleung,",Harvard,"B.A., Economics","
Vancouver, Canada",Male,Asian,Yes,Early Action,2016,,"Harvard, Western Ontario",UBC,N/A,No,,"4.00
GPA",,"4
Essays","7
Scores","17
Advice","4
ECs","2
Sports","3
Schools","1510
SAT",
https://www.admitsee.com/profile-detail/8535,"jas0n,",Harvard,"B.A., Biochemistry and Molecular Biology, Biological and Physical Sciences, , Biology, , Biology and Biological Sciences, , Cellular Biology","
Honolulu, Hawaii",Male,Asian,Yes,Regular Decision,2017,,"Harvard, Cornell, Duke, UPenn, JHU, UMich",N/A,"Stanford, Rice, Northwestern, WashU",No,,"4.20
GPA",,"2
Essays","19
Scores","10
Advice","16
ECs","1
Sports","10
Schools","1530
SAT","36
ACT"
https://www.admitsee.com/profile-detail/8426,"RishiB,",Harvard,"B.S., Bioengineering and Biomedical Engineering, Medicine","
Los Angeles, California",Male,Asian,Yes,Regular Decision,2017,,"Harvard, USC",N/A,Yale,No,,"4.40
GPA",,"3
Essays","8
Scores","7
Advice","3
ECs","1
Sports","3
Schools","1520
SAT",
https://www.admitsee.com/profile-detail/8425,"hn700a,",Harvard,"B.A., Mathematics, Political Science and Government","
Albany, New York",Male,White Non-Hispanic,Yes,Early Action,2017,,Harvard,N/A,N/A,Both Parents + 2 more,,"4.40
GPA",,"2
Essays","11
Scores","5
Advice","5
ECs","3
Sports","1
Schools","1530
SAT",
https://www.admitsee.com/profile-detail/488060,"mrhenry,",Harvard,"B.A., Social Sciences","
Essex Junction, Vermont",Male,Asian,,,2025,No,"Harvard, Yale, Brown, Dartmouth, Williams, Swarthmore, Middlebury, Wesleyan, Skidmore, UVM, Case",N/A,"Stanford, Princeton, UChicago",No,,"4.00
GPA",,"21
Essays","15
Scores","4
Advice","11
ECs","2
Sports","14
Schools","1570
SAT",
https://www.admitsee.com/profile-detail/482241,"andrew_xu,",Brown,"B.S., Biology","
Belmont, Massachusetts",Male,Asian,,,2024,No,"Brown, Harvard, BU, Case, Pitt, UMass, WashU, RPI, VCU, Hofstra, SC, UMKC, Oklahoma U, FAU, Drexel, College of NJ, Tufts, Williams, Northwestern, Rochester, Northeastern",MIT,N/A,No,,"4.00
GPA",,"7
Essays","17
Scores","7
Advice","7
ECs","1
Sports","22
Schools","1570
SAT","36
ACT"
https://www.admitsee.com/profile-detail/472719,"purpleantelope,",Yale,"B.A., Biochemistry and Molecular Biology","
Essex Junction, Vermont",Male,Asian,,,2024,No,"Yale, Brown, Dartmouth, Harvard, JHU, UMich, UVM",WashU,N/A,No,,"4.00
GPA",,"16
Essays","13
Scores","3
Advice","9
ECs","3
Sports","8
Schools","1580
SAT",
https://www.admitsee.com/profile-detail/448197,"noahcovey,",Harvard,"B.A., Computer Science","
Dunwoody, Georgia",Male,White Non-Hispanic,,,2023,No,"Harvard, UGA",N/A,N/A,Parent,,"4.40
GPA",,"4
Essays","12
Scores","3
Advice","4
ECs","2
Sports","2
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/327810,"HestiaX,",Harvard,"B.A., Computer Science","
North Bergen, New Jersey",Female,Asian,,,2020,Yes,"Harvard, Williams, UCSD, Illinois, GA Tech, UC Irvine, NYU, Rutgers","UC Berkeley, UChicago","MIT, Princeton, Columbia, Rice, CMU, Dartmouth, UPenn, Cornell, UNC, USC",No,,"4.33
GPA",,"2
Essays","15
Scores","2
Advice","3
ECs","0
Sports","20
Schools","1540
SAT",
https://www.admitsee.com/profile-detail/209063,"whyynot,",Harvard,"B.A., Undecided","
Toronto, ON, Canada",Female,White Non-Hispanic,,,2020,No,"Harvard, Yale, UPenn, Amherst",UChicago,N/A,No,,"4.00
GPA",,"3
Essays","8
Scores","4
Advice","4
ECs","0
Sports","5
Schools","1560
SAT",
https://www.admitsee.com/profile-detail/203894,"HarvardSailor,",Harvard,"B.S., Engineering Science","
Cambridge, Massachusetts",Female,White Non-Hispanic,Yes,Regular Decision,2020,No,"Harvard, Columbia, Middlebury, Georgetown, Wesleyan, UMich","Dartmouth, Tufts, JHU, Swarthmore","Princeton, Stanford, Brown, Yale",Parent,,"4.00
GPA",,"9
Essays","5
Scores","6
Advice","5
ECs","3
Sports","14
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/192103,"Emily Corrigan,",Harvard,"B.A., Economics","
Sisters, Oregon",Female,White Non-Hispanic,Yes,Regular Decision,2019,,"Harvard, Claremont (CMC), JHU, Lehigh, UMBC, Washington",N/A,"Columbia, Stanford, Northwestern, UPenn",Both Parents,,"4.30
GPA",,"11
Essays","11
Scores","5
Advice","5
ECs","3
Sports","10
Schools","1520
SAT",
https://www.admitsee.com/profile-detail/167593,"romeou,",Stanford,"B.S., Computer Science","
Miami, Florida",Male,Hispanic,No,Early Action,2019,Yes,"Stanford, MIT, Harvard, Yale, Princeton, Williams",N/A,N/A,No,,"4.50
GPA",,"5
Essays","14
Scores","6
Advice","5
ECs","0
Sports","6
Schools","1490
SAT","34
ACT"
https://www.admitsee.com/profile-detail/157379,"ksharm01,",Harvard,"B.A., Computational and Applied Mathematics","
Redwood City, California",Male,Asian,Yes,,2020,No,"Harvard, UPenn, UC Berkeley, UCLA, USC, UCSD, UMich",N/A,"Stanford, Yale, Columbia, Princeton, UChicago",No,,"4.00
GPA",,"24
Essays","14
Scores","2
Advice","3
ECs","1
Sports","12
Schools","1560
SAT","36
ACT"
https://www.admitsee.com/profile-detail/69922,"jsquie,",Princeton,"B.S., Chemical Engineering","
Dallas, Texas",Male,White Non-Hispanic,Yes,Regular Decision,2012,No,"Princeton, BC, Yale, Harvard, Stanford, UT Austin, Dartmouth, Duke, WashU",N/A,N/A,No,,"4.50
GPA",,"3
Essays","14
Scores","9
Advice","2
ECs","4
Sports","9
Schools","1600
SAT","36
ACT"
https://www.admitsee.com/profile-detail/67358,"allison28,",Harvard,"B.A., Bioengineering and Biomedical Engineering","
Minot, North Dakota",Female,White Non-Hispanic,Yes,Regular Decision,2019,,"Harvard, Stanford, Dartmouth, Brown",Cornell,Yale,No,,"4.00
GPA",,"4
Essays","10
Scores","5
Advice","3
ECs","2
Sports","6
Schools","1510
SAT","35
ACT"
